Population,OysterName,TracesPresent,TracesA,TracesB,TracesC,mmLength,mmWidth
Modern,M2,1,0,0,1,12,0.334
Modern,M7,1,0,0,1,16.79,0.6536
Modern,M7_A,,,,,4.701,0.2461
Modern,M12,1,0,0,1,18.1,0.4602
Modern,M14,1,0,0,1,12.62,0.5805
Modern,M17,1,0,0,1,11.37,0.3588
Modern,M19,1,0,1,0,,
Modern,M21,1,0,0,1,9.112,0.3228
Modern,M21_A,,,,,18.18,0.404
Modern,M31,1,0,0,1,16.42,0.5231
Modern,M33,1,0,0,1,15.35,0.6087
Modern,M33_A,,,,,14.93,0.4761
Modern,M34,1,0,0,1,7.983,0.3154
Modern,M35,1,0,1,0,16.05,0.5449
Modern,M38,1,0,0,1,9.425,0.3934
Modern,M42,1,0,0,1,8.116,0.4525
Modern,M43,1,1,0,0,9.793,0.3122
Modern,M45,1,0,0,1,18.63,0.6788
Modern,M45_A,,,,,9.128,0.376
Modern,M46,1,0,0,1,6.3936,0.3076
Modern,M46_A,,,,,3.91,0.2473
Modern,M47,1,0,0,1,12.58,0.4787
Modern,M50,1,0,1,0,21.53,0.5238
Modern,M52,1,0,0,1,10.02,0.3107
Modern,M53,1,0,0,1,10.55,0.4344
Modern,M53_A,,,,,11.07,0.3561
Modern,M64,1,0,0,1,8.751,0.4372
Modern,M64_A,,,,,7.712,0.3421
Modern,M69,1,0,0,1,11.71,0.4838
Modern,M69_A,,,,,4.306,0.2463
Modern,M70,1,0,1,0,17.7,0.5026
Modern,M73,1,0,1,0,14.38,0.4839
Modern,M73_A,,,,,6.597,0.3671
Modern,M74,1,0,0,1,11.36,0.4323
Modern,M79,1,0,1,0,13.35,0.4867
Modern,M83,1,1,0,0,5.816,0.5948
Modern,M84,1,0,0,1,13.68,0.3945
Modern,M84_A,,,,,11,0.3328
Modern,M86,1,0,0,1,12.71,0.4159
Modern,M91,1,0,1,0,4.066,0.4343
Modern,M95,1,0,1,0,11.21,0.4604
